month,sourceFile,rowNumber,sourceSystem,account,currency,isbn,title,units,gross,net,sha256,lineItem
01,LSI Global Connect Sales Compensation Report for 9118734 (USD).xls,6,INGRAM_POD,9118734,USD,1961475472,"Peaches Can Do It!",0,0,0,0d9a9824491e0c58625211b837097f95c1ec44f02b5e6ec7c0aed56156c4b44d,e1632bee99bddd5c18e3fc4324d6a0502ae7b6642183308d6f0dbfaab3ed1d5b
01,LSI Global Connect Sales Compensation Report for 9118734 (USD).xls,7,INGRAM_POD,9118734,USD,1961475510,"Warriors and Angels: Liberating Inner Power in the Journey of Life",0,0,0,0d9a9824491e0c58625211b837097f95c1ec44f02b5e6ec7c0aed56156c4b44d,4afbcd1159cef5ab96bcc2061627fdc5dba81c5501227b81a9423b0023154aea
01,LSI Global Connect Sales Compensation Report for 9118734 (USD).xls,8,INGRAM_POD,9118734,USD,1961475553,"The Sun, The Shadow, and The Silence",4,18,7.8,0d9a9824491e0c58625211b837097f95c1ec44f02b5e6ec7c0aed56156c4b44d,4374449f1fb64eb6020963fcbe2b63ca151a26c0963f520474d1133373700cb4
01,LSI POD Wholesale Comp Report for 9118734 (UK-GBP).xls,2,INGRAM_POD,9118734,GBP,1954414005,"Abortion!: George and Giovanna",0,0,0,3a06678447fb58db4322f85cdbf3a7dc4c775cab538d4b00e0fc7d410b9a1455,fc3507a9dd87650f63bd9239a49eb8615285edbc022150f5daa2ad2eb6e35837
01,LSI POD Wholesale Comp Report for 9118734 (UK-GBP).xls,3,INGRAM_POD,9118734,GBP,1954414374,"Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose",0,0,0,3a06678447fb58db4322f85cdbf3a7dc4c775cab538d4b00e0fc7d410b9a1455,aa46af8d81c1d21b2732b8ef873fb9ca147c0bc119200472af16834431b0a5ae
01,LSI POD Wholesale Comp Report for 9118734 (UK-GBP).xls,4,INGRAM_POD,9118734,GBP,1961475332,"Delicious Ideas!: The Legacy Cookbook",1,9.59,4.78,3a06678447fb58db4322f85cdbf3a7dc4c775cab538d4b00e0fc7d410b9a1455,a3a75f4fbf213b04a98b5629dd849d99ae75af755260367f3a9c144a90a5a8ef
01,LSI POD Wholesale Comp Report for 9118734 (UK-GBP).xls,5,INGRAM_POD,9118734,GBP,1961475510,"Warriors and Angels: Liberating Inner Power in the Journey of Life",0,0,0,3a06678447fb58db4322f85cdbf3a7dc4c775cab538d4b00e0fc7d410b9a1455,5595533747a0d4c6757a19daace2bb596858756fe3631e5a46f17043b15905c1
01,LSI POD Wholesale Comp Report for 9118734 (UK-GBP).xls,6,INGRAM_POD,9118734,GBP,1961475553,"The Sun, The Shadow, and The Silence",3,10.8,3.78,3a06678447fb58db4322f85cdbf3a7dc4c775cab538d4b00e0fc7d410b9a1455,7c2189fe0bed43e77c1f05941e09fa657c6aed05589232dda7802a808254edde
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,2,INGRAM_POD,9118734,USD,985263121,"God's Business Plan",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,7ee1f3498577f7efebf3d7012082c49aa0bdcc82dabd2643dedce0f6742bd522
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,3,INGRAM_POD,9118734,USD,1792313705,"Come Out Of Hiding: Activating Deliverance",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,ab295f3ac97b56bb730920abfceb0131c679d62b3ac691cd22a17c833361f36d
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,4,INGRAM_POD,9118734,USD,1950719030,"Establishing Glory 2: The Relationship Handbook (2nd Edition)",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,3828ed115e438dab02ffa3c947a660f32f69a5d2bee00d62e076530ca098f75c
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,5,INGRAM_POD,9118734,USD,1950719065,"The Girl with the Ebony Locs and the Three Bears",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,7c62fd3e81ee73451a747b33e72aee425944a0f5172d568abfc59d15c78d0dd7
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,6,INGRAM_POD,9118734,USD,1950719200,"Are You Sure That You Are Ready?: A Guide for Vendors",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,de92b338e2871f2da1138a89261c0d7360231fbfb4a3fc5639e6ba385df693e0
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,7,INGRAM_POD,9118734,USD,1950719219,"The Essence of Life, Love Letters to Christ: Poems of Life and Love from the Pages of the Heart",1,5.99,2.56,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,f902142ab1ea6446ebbce13b1ee57a3126fea81dc92b25d20def0c51d1198ebd
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,8,INGRAM_POD,9118734,USD,1950719367,"Conquer Your Fears and Win",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,32945a4b5007bba43b895be7ee4489fb13c92edb0d6f34c27ce82f08ca24bdc1
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,9,INGRAM_POD,9118734,USD,195071957X,"Loving the Addict: While Taking Care of Yourself First",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,7e25659ea0a87e5dc7e857f053005c132f0ad38c8f1e48e25557b24269044505
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,10,INGRAM_POD,9118734,USD,1950719669,"A Principal's Tale: A Self-Determined Leader",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,df1511b18029ee83e665285413f9e7d3f670b6500f8b53188ab1f4034ed2fb09
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,11,INGRAM_POD,9118734,USD,1950719863,"Just What I Needed: Daily Devotional",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,75816825409ecb76cc2190957f62af24d7dde7032a39915f64cb67bfb02303d0
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,12,INGRAM_POD,9118734,USD,1950719928,"365 Days of Transparency",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,d178f98cea7252459bf7f85bc034e7e24f9df95512564aba44e826eb20c28156
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,13,INGRAM_POD,9118734,USD,1950719944,"Love Lucy",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,9f5255b1d03203677dc454ae60c491928a09eb286edd0bfafe8371bf7c72ac89
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,14,INGRAM_POD,9118734,USD,1954414005,"Abortion!: George and Giovanna",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,cbfe0389083c02b3c75a14e2f287f9303464afb68e8b2d270e9ecf4057df32b0
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,15,INGRAM_POD,9118734,USD,1954414064,"Aligned!: Unlocking the DNA of Authentic Faith",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,ac7e31f261870a7ffbaa32b1d0eb7709c88b288f9fd07de0f2e59582135ae82a
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,16,INGRAM_POD,9118734,USD,1954414129,"A Blended Family",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,7a19cae7e3a593a60ca63d8ba3e3be666ee3d9db152103278425bbe0dccf212e
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,17,INGRAM_POD,9118734,USD,1954414188,"Memoir of a Black Christian Nationalist: Seeds of Liberation",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,825eb1152756bed233823ff47be0cf0a12e5287a6e949a9489c09e1232a08e96
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,18,INGRAM_POD,9118734,USD,1954414196,"Memoir of a Black Christian Nationalist: Seeds of Liberation",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,efa43edb7c7b036140524149af9e9ab4b9112df332aaab6bff8c18e5dc879c6e
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,19,INGRAM_POD,9118734,USD,1954414218,"Grandmothers Educating Minds, 2nd Edition",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,4edf944d42a78d728e577eaf09de79eac9a40c75b10a838c107c1a6865559b09
