ISBN13	Title	Format	Status	ISBN	KINDLE	Published	 List Price 	 Cost 	40%	New 	 AUTHOR COPY 	 Author 	Contract	IsDistributed	House
978-1-961475-77-9	The Conquest of Azenga	Hardback	AC (USA)/AC (EPD)	9781961475779		23-Jun-26	 -   	 -   	 -   		 0.40 	 Iyorwuese Hagher 	1	Y	
978-1-961475-78-6	The Conquest of Azenga	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475786		23-Jun-26	 -   	 -   	 -   		 0.40 	 Iyorwuese Hagher 	1	Y	
978-1-961475-79-3	The Shift	Paperback	AC (USA)	9781961475793		18-Aug-26	 -   	 -   	 -   		 0.40 	 Sean Crowley 	1	Y	
978-1-961475-80-9	The Shift	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475809		18-Aug-26	 -   	 -   	 -   		 0.40 	 Sean Crowley 	1	Y	
978-1-961475-81-6	The Tithe Is the Lord's	Paperback	AC (USA)	9781961475816		22-Jul-26	 -   	 -   	 -   		 0.40 	 Permelia Smith 	1	Y	
978-1-961475-82-3	The Tithe Is the Lord's	Digital online	AC (USA)	9781961475823		22-Jul-26	 -   	 -   	 -   		 0.40 	 Permelia Smith 	1	Y	
978-1-961475-83-0	Strategies for Success	Paperback	AC (USA)	9781961475830		22-Sep-26	 -   	 -   	 -   		 0.40 	 Sean Crowley 	1	Y	
978-1-961475-84-7	Strategies For Success	Digital online	AC (USA)	9781961475847		22-Sep-26	 -   	 -   	 -   		 0.40 	 Sean Crowley 	1	Y	
978-1-961475-85-4	Strategies for Success	Hardback	AC (USA)	9781961475854		22-Sep-26	 -   	 -   	 -   		 0.40 	 Sean Crowley 	1	Y	
978-1-961475-86-1				9781961475861			 -   	 -   	 -   		 0.40 		1		
978-1-961475-87-8				9781961475878			 -   	 -   	 -   		 0.40 		1		
978-1-961475-88-5				9781961475885			 -   	 -   	 -   		 0.40 		1		
978-1-961475-89-2				9781961475892			 -   	 -   	 -   		 0.40 		1		
978-1-961475-90-8				9781961475908			 -   	 -   	 -   		 0.40 		1		
978-1-961475-91-5				9781961475915			 -   	 -   	 -   		 0.40 		1		
978-1-961475-92-2				9781961475922			 -   	 -   	 -   		 0.40 		1		
978-1-961475-93-9				9781961475939			 -   	 -   	 -   		 0.40 		1		
978-1-961475-94-6				9781961475946			 -   	 -   	 -   		 0.40 		1		
978-1-961475-95-3				9781961475953			 -   	 -   	 -   		 0.40 		1		
978-1-961475-96-0				9781961475960			 -   	 -   	 -   		 0.40 		1		
978-1-961475-97-7	When a Thug Meets Jesus	Paperback	AC (USA)	9781961475977		2023-12-01	 9.99 	 2.13 	 4.00 	 3.63 	 4.00 	 Mack Hughley 	1	Y	
978-1-961475-98-4	When a Thug Meets Jesus	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475984		2023-12-01	 -   	 -   	 -   		 0.40 	 Mack Hughley 	1	Y	
978-1-961475-99-1	When Zuri Came to Earth	Paperback	AC (USA)	9781961475991			 -   	 -   	 -   	 1.50 	 0.40 	 Gwendolyn Rucker-Carr 	1	N	I
978-1-969418-00-6				9781969418006			 -   	 -   	 -   		 0.40 		1		
978-1-969418-01-3				9781969418013			 -   	 -   	 -   		 0.40 		1		
978-1-969418-02-0				9781969418020			 -   	 -   	 -   		 0.40 		1		
978-1-969418-03-7				9781969418037			 -   	 -   	 -   		 0.40 		1		
978-1-969418-04-4				9781969418044			 -   	 -   	 -   		 0.40 		1		
978-1-969418-05-1				9781969418051			 -   	 -   	 -   		 0.40 		1		
978-1-969418-06-8				9781969418068			 -   	 -   	 -   		 0.40 		1		
978-1-969418-07-5				9781969418075			 -   	 -   	 -   		 0.40 		1		
978-1-969418-08-2				9781969418082			 -   	 -   	 -   		 0.40 		1		
978-1-969418-09-9				9781969418099			 -   	 -   	 -   		 0.40 		1		
978-1-969418-10-5				9781969418105			 -   	 -   	 -   		 0.40 		1		
978-1-969418-11-2				9781969418112			 -   	 -   	 -   		 0.40 		1		
978-1-969418-12-9				9781969418129			 -   	 -   	 -   		 0.40 		1		
978-1-969418-13-6				9781969418136			 -   	 -   	 -   		 0.40 		1		
978-1-969418-14-3				9781969418143			 -   	 -   	 -   		 0.40 		1		
978-1-969418-15-0				9781969418150			 -   	 -   	 -   		 0.40 		1		
978-1-969418-16-7				9781969418167			 -   	 -   	 -   		 0.40 		1		
978-1-969418-17-4				9781969418174			 -   	 -   	 -   		 0.40 		1		
978-1-969418-18-1				9781969418181			 -   	 -   	 -   		 0.40 		1		
978-1-969418-19-8				9781969418198			 -   	 -   	 -   		 0.40 		1		
978-1-969418-20-4				9781969418204			 -   	 -   	 -   		 0.40 		1		
978-1-969418-21-1				9781969418211			 -   	 -   	 -   		 0.40 		1		
978-1-969418-22-8				9781969418228			 -   	 -   	 -   		 0.40 		1		
978-1-969418-23-5				9781969418235			 -   	 -   	 -   		 0.40 		1		
978-1-969418-24-2				9781969418242			 -   	 -   	 -   		 0.40 		1		
978-1-969418-25-9				9781969418259			 -   	 -   	 -   		 0.40 		1		
978-1-969418-26-6				9781969418266			 -   	 -   	 -   		 0.40 		1		
978-1-969418-27-3				9781969418273			 -   	 -   	 -   		 0.40 		1		
978-1-969418-28-0				9781969418280			 -   	 -   	 -   		 0.40 		1		
978-1-969418-29-7				9781969418297			 -   	 -   	 -   		 0.40 		1		
978-1-969418-30-3				9781969418303			 -   	 -   	 -   		 0.40 		1		
978-1-969418-31-0				9781969418310			 -   	 -   	 -   		 0.40 		1		
978-1-969418-32-7				9781969418327			 -   	 -   	 -   		 0.40 		1		
978-1-969418-33-4				9781969418334			 -   	 -   	 -   		 0.40 		1		
978-1-969418-34-1				9781969418341			 -   	 -   	 -   		 0.40 		1		
978-1-969418-35-8				9781969418358			 -   	 -   	 -   		 0.40 		1		
978-1-969418-36-5				9781969418365			 -   	 -   	 -   		 0.40 		1		
978-1-969418-37-2				9781969418372			 -   	 -   	 -   		 0.40 		1		
978-1-969418-38-9				9781969418389			 -   	 -   	 -   		 0.40 		1		
978-1-969418-39-6				9781969418396			 -   	 -   	 -   		 0.40 		1		
978-1-969418-40-2				9781969418402			 -   	 -   	 -   		 0.40 		1		
978-1-969418-41-9				9781969418419			 -   	 -   	 -   		 0.40 		1		
978-1-969418-42-6				9781969418426			 -   	 -   	 -   		 0.40 		1		
978-1-969418-43-3				9781969418433			 -   	 -   	 -   		 0.40 		1		
978-1-969418-44-0				9781969418440			 -   	 -   	 -   		 0.40 		1		
978-1-969418-45-7				9781969418457			 -   	 -   	 -   		 0.40 		1		
978-1-969418-46-4				9781969418464			 -   	 -   	 -   		 0.40 		1		
978-1-969418-47-1				9781969418471			 -   	 -   	 -   		 0.40 		1		
978-1-969418-48-8				9781969418488			 -   	 -   	 -   		 0.40 		1		
978-1-969418-49-5				9781969418495			 -   	 -   	 -   		 0.40 		1		
978-1-969418-50-1				9781969418501			 -   	 -   	 -   		 0.40 		1		
978-1-969418-51-8				9781969418518			 -   	 -   	 -   		 0.40 		1		
978-1-969418-52-5				9781969418525			 -   	 -   	 -   		 0.40 		1		
978-1-969418-53-2				9781969418532			 -   	 -   	 -   		 0.40 		1		
978-1-969418-54-9				9781969418549			 -   	 -   	 -   		 0.40 		1		
978-1-969418-55-6				9781969418556			 -   	 -   	 -   		 0.40 		1		
978-1-969418-56-3				9781969418563			 -   	 -   	 -   		 0.40 		1		
978-1-969418-57-0				9781969418570			 -   	 -   	 -   		 0.40 		1		
978-1-969418-58-7				9781969418587			 -   	 -   	 -   		 0.40 		1		
978-1-969418-59-4				9781969418594			 -   	 -   	 -   		 0.40 		1		
978-1-969418-60-0				9781969418600			 -   	 -   	 -   		 0.40 		1		
978-1-969418-61-7				9781969418617			 -   	 -   	 -   		 0.40 		1		
978-1-969418-62-4				9781969418624			 -   	 -   	 -   		 0.40 		1		
978-1-969418-63-1				9781969418631			 -   	 -   	 -   		 0.40 		1		
978-1-969418-64-8				9781969418648			 -   	 -   	 -   		 0.40 		1		
978-1-969418-65-5				9781969418655			 -   	 -   	 -   		 0.40 		1		
978-1-969418-66-2				9781969418662			 -   	 -   	 -   		 0.40 		1		
978-1-969418-67-9				9781969418679			 -   	 -   	 -   		 0.40 		1		
978-1-969418-68-6				9781969418686			 -   	 -   	 -   		 0.40 		1		
978-1-969418-69-3				9781969418693			 -   	 -   	 -   		 0.40 		1		
978-1-969418-70-9				9781969418709			 -   	 -   	 -   		 0.40 		1		
978-1-969418-71-6				9781969418716			 -   	 -   	 -   		 0.40 		1		
978-1-969418-72-3				9781969418723			 -   	 -   	 -   		 0.40 		1		
978-1-969418-73-0				9781969418730			 -   	 -   	 -   		 0.40 		1		
978-1-969418-74-7				9781969418747			 -   	 -   	 -   		 0.40 		1		
978-1-969418-75-4				9781969418754			 -   	 -   	 -   		 0.40 		1		
978-1-969418-76-1				9781969418761			 -   	 -   	 -   		 0.40 		1		
978-1-969418-77-8				9781969418778			 -   	 -   	 -   		 0.40 		1		
978-1-969418-78-5				9781969418785			 -   	 -   	 -   		 0.40 		1		
978-1-969418-79-2				9781969418792			 -   	 -   	 -   		 0.40 		1		
978-1-969418-80-8				9781969418808			 -   	 -   	 -   		 0.40 		1		
978-1-969418-81-5				9781969418815			 -   	 -   	 -   		 0.40 		1		
978-1-969418-82-2				9781969418822			 -   	 -   	 -   		 0.40 		1		
978-1-969418-83-9				9781969418839			 -   	 -   	 -   		 0.40 		1		
978-1-969418-84-6				9781969418846			 -   	 -   	 -   		 0.40 		1		
978-1-969418-85-3				9781969418853			 -   	 -   	 -   		 0.40 		1		
978-1-969418-86-0				9781969418860			 -   	 -   	 -   		 0.40 		1		
978-1-969418-87-7				9781969418877			 -   	 -   	 -   		 0.40 		1		
978-1-969418-88-4				9781969418884			 -   	 -   	 -   		 0.40 		1		
978-1-969418-89-1				9781969418891			 -   	 -   	 -   		 0.40 		1		
978-1-969418-90-7				9781969418907			 -   	 -   	 -   		 0.40 		1		
978-1-969418-91-4				9781969418914			 -   	 -   	 -   		 0.40 		1		
978-1-969418-92-1				9781969418921			 -   	 -   	 -   		 0.40 		1		
978-1-969418-93-8				9781969418938			 -   	 -   	 -   		 0.40 		1		
978-1-969418-94-5				9781969418945			 -   	 -   	 -   		 0.40 		1		
978-1-969418-95-2				9781969418952			 -   	 -   	 -   		 0.40 		1		
978-1-969418-96-9				9781969418969			 -   	 -   	 -   		 0.40 		1		
978-1-969418-97-6				9781969418976			 -   	 -   	 -   		 0.40 		1		
978-1-969418-98-3				9781969418983			 -   	 -   	 -   		 0.40 		1		
978-1-969418-99-0				9781969418990			 -   	 -   	 -   		 0.40 		1		
978-1-981006-00-7	Establishing Glory: The Praise and Worship Handbook	Paperback	AC (USA)	9781981006007		2018-05-04			 -   	 1.50 	 0.40 	 Jackie Smith, Jr. 	1	Y	Y
BK_ACX0_172577	Establishing Glory: The Praise and Worship Handbook (2nd Edition)	Audio	AC (USA)	BK_ACX0_172577		2019-04-01	 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
BK_ACX0_232184	The Celestial Advantage	Audio	AC (USA)	BK_ACX0_232184		2019-11-15	 -   	 -   	 -   		 0.40 	 Obadiah Harris 	1	Y	
BK_ACX0_259191	Getting Back 2 Happy: The Chronicles of Tabby (Unabridged)	Audio	AC (USA)	BK_ACX0_259191		2021-01-13	 -   	 -   	 -   		 0.40 	 Jaylonna Stevette 	1	Y	
