ISBN13	Title	Format	Status	ISBN	KINDLE	Published	 List Price 	 Cost 	40%	New 	 AUTHOR COPY 	 Author 	Contract	IsDistributed	House
978-1-954414-61-7	The Healed Me	Digital online	AC (USA)	9781954414617		2023-05-01	 -   	 -   	 -   		 0.40 	 Maurche Reed 	1	Y	
978-1-954414-62-4	The Healed Me	Paperback	AC (USA)	9781954414624		2023-05-01	 14.99 	 5.24 	 6.00 	 6.74 	 6.00 	 Maurche Reed 	1	Y	Y
978-1-954414-63-1	The Never Before Told Story of the Gelatin Monster	Digital online	AC (USA)	9781954414631		2023-05-15	 -   	 -   	 -   		 0.40 	 Shaniqua Williams 	1	Y	
978-1-954414-64-8	The Never Before Told Story of the Gelatin Monster	Paperback	AC (USA)	9781954414648		2023-05-15	 16.99 	 5.58 	 6.80 	 7.08 	 6.80 	 Shaniqua Williams 	1	Y	Y
978-1-954414-65-5	Warrior's Breed	Digital online	AC (USA)	9781954414655		2023-10-01	 -   	 -   	 -   		 0.40 	 Dean Wilson 	1	Y	
978-1-954414-66-2	Warrior's Breed	Paperback	AC (USA)	9781954414662		2023-10-01	 14.99 	 2.88 	 6.00 	 4.38 	 6.00 	 Dean Wilson 	1	Y	
978-1-954414-67-9	The Princess and the Black-Eyed Pea	Digital online	AC (USA)	9781954414679		2023-03-01	 -   	 -   	 -   		 0.40 	 Deborah Eiland 	1	Y	
978-1-954414-68-6	The Princess and the Black-eyed Pea	Hardback	AC (USA)	9781954414686		2023-03-01	 19.99 	 11.36 	 8.00 	 12.86 	 11.76 	 Deborah Eiland 	1	Y	Y
978-1-954414-69-3	The Princess and the Black-eyed Pea	Paperback	AC (USA)	9781954414693		2023-03-01	 14.99 	 5.95 	 6.00 	 7.45 	 6.35 	 Deborah Eiland 	1	Y	Y
978-1-954414-70-9	BEE Careful	Digital online	AC (USA)	9781954414709		2023-07-01	 -   	 -   	 -   		 0.40 	 Deborah Eiland 	1	Y	
978-1-954414-71-6	BEE Careful	Hardback	AC (USA)	9781954414716		2023-07-01	 -   	 -   	 -   	 1.50 	 0.40 	 Deborah Eiland 	1	Y	I
978-1-954414-72-3	BEE Careful	Paperback	AC (USA)	9781954414723		2023-07-01	 -   	 -   	 -   	 1.50 	 0.40 	 Deborah Eiland 	1	Y	I
978-1-954414-73-0	7 Step Jumpstart to Becoming Your Best Self	Digital online	AC (USA)	9781954414730		2023-04-01	 -   	 -   	 -   		 0.40 	 Ericka Johnson Settles 	1	Y	
978-1-954414-74-7	7 Step Jumpstart to Becoming Your Best Self	Paperback	AC (USA)	9781954414747		2023-04-01	 7.99 	 2.05 	 3.20 	 3.55 	 3.20 	 Ericka Johnson Settles 	1	Y	Y
978-1-954414-75-4	7 Step Jumpstart to Becoming Your Best Self	Digital online	AC (USA)	9781954414754		2023-04-01	 -   	 -   	 -   		 0.40 	 Ericka Johnson Settles 	1	Y	
978-1-954414-76-1	Kingdom Equipment 101	Digital online	AC (USA)	9781954414761		2023-05-15	 -   	 -   	 -   		 0.40 	 Terry Stephens 	1	Y	
978-1-954414-77-8	Kingdom Equipment 101	Paperback	AC (USA)	9781954414778		2023-05-15	 12.99 	 2.31 	 5.20 	 3.81 	 5.20 	 Terry Stephens 	1	Y	Y
978-1-954414-78-5	Your Brain Has Too Much What, Mommy??	Paperback	AC (USA)	9781954414785		2023-12-06	 9.99 	 1.96 	 4.00 	 3.46 	 4.00 	 Essence Easley 	1	Y	
978-1-954414-79-2	Your brain has too much what, mommy??	Digital online	AC (USA)	9781954414792		2023-12-06	 -   	 -   	 -   		 0.40 	 Essence Easley 	1	Y	
978-1-954414-80-8	BEE Careful	Paperback	AC (USA)	9781954414808		2023-07-01	 19.99 	 5.40 	 8.00 	 6.90 	 8.00 	 Deborah Eiland 	1	Y	Y
978-1-954414-81-5	BEE Careful	Hardback	AC (USA)	9781954414815		2023-07-01	 24.99 	 10.77 	 10.00 	 12.27 	 11.17 	 Deborah Eiland 	1	Y	Y
978-1-954414-82-2	BEE Careful	Digital online	AC (USA)	9781954414822		2023-07-01	 -   	 -   	 -   		 0.40 	 Deborah Eiland 	1	Y	
978-1-954414-83-9	The Healed Me	Hardback	AC (USA)	9781954414839		2023-05-01	 24.99 	 10.36 	 10.00 	 11.86 	 10.76 	 Maurche Reed 	1	Y	Y
978-1-954414-84-6	Naughty Tales	Paperback	AC (USA)	9781954414846			 -   	 -   	 -   	 1.50 	 0.40 	 Jaylonna Stevette 	1	N	
978-1-954414-85-3	Naughty Tales	Digital online	AC (USA)	9781954414853			 -   	 -   	 -   		 0.40 	 Jaylonna Stevette 	1	N	
978-1-954414-86-0	Ordinary People Searching for Greatness	Paperback	AC (USA)	9781954414860		2023-08-01	 19.99 	 2.94 	 8.00 	 4.44 	 8.00 	 Earline Neal 	1	Y	
978-1-954414-87-7	Ordinary People Searching for Greatness	Hardback	AC (USA)	9781954414877		2023-08-01	 24.99 	 6.81 	 10.00 	 8.31 	 10.00 	 Earline Neal 	1	Y	Y
978-1-954414-88-4	Ordinary People Searching for Greatness	Digital online	AC (USA)	9781954414884		2023-08-01	 -   	 -   	 -   		 0.40 	 Earline Neal 	1	Y	
978-1-954414-89-1	Biblical Prescriptions for Life's Troubles	Paperback	AC (USA)	9781954414891		2023-07-01	 12.99 	 2.08 	 5.20 	 3.58 	 5.20 	 Terry Stephens 	1	Y	Y
978-1-954414-90-7	Biblical Prescriptions For Life's Troubles	Digital online	AC (USA)	9781954414907		2023-07-01	 -   	 -   	 -   		 0.40 	 Terry Stephens 	1	Y	
978-1-954414-91-4	Discipline and Direction	Paperback	AC (USA)	9781954414914		2023-12-01	 12.99 	 2.00 	 5.20 	 3.50 	 5.20 	 Terry Stephens 	1	Y	
978-1-954414-92-1	Discipline and Direction	Digital online	AC (USA)	9781954414921		2023-12-01	 -   	 -   	 -   		 0.40 	 Terry Stephens 	1	Y	
978-1-954414-93-8	Hodge Podge of Life	Paperback	AC (USA)	9781954414938		2023-11-01	 14.99 	 3.58 	 6.00 	 5.08 	 6.00 	 Mildred Beard 	1	Y	
978-1-954414-94-5	Hodge Podge of Life	Digital online	AC (USA)	9781954414945		2023-11-01	 -   	 -   	 -   		 0.40 	 Mildred Beard 	1	Y	
978-1-954414-95-2	When Zuri Came to Earth	Digital online	AC (USA)	9781954414952			 -   	 -   	 -   		 0.40 	 Gwendolyn Rucker-Carr 	1	N	
978-1-954414-96-9	Love of My Life	Hardback	AC (USA)	9781954414969		2022-08-01	 21.99 	 7.00 	 8.80 	 8.50 	 8.80 	 Thaddues Smith 	1	Y	
978-1-954414-97-6	Mirror of Refining Insight	Hardback	AC (USA)	9781954414976		2022-07-01	 24.99 	 7.77 	 10.00 	 9.27 	 10.00 	 Marvin Grayson 	1	Y	
978-1-954414-98-3	Let Me Tell You About It	Paperback	AC (USA)	9781954414983		2022-09-01	 14.99 	 3.74 	 6.00 	 5.24 	 6.00 	 Lisa Clark 	1	Y	Y
978-1-954414-99-0	Let Me Tell You about It	Digital online	AC (USA)	9781954414990		2022-09-01	 -   	 -   	 -   		 0.40 	 Lisa Clark 	1	Y	
978-1-961475-00-7	According to Mark	Hardback	AC (USA)	9781961475007		2022-09-16	 19.99 	 5.73 	 8.00 	 7.23 	 8.00 	 Alice Pryor 	1	Y	
978-1-961475-01-4	The Master's Piece	Hardback	AC (USA)	9781961475014		2022-08-01	 20.99 	 6.92 	 8.40 	 8.42 	 8.40 	 Sylvia Benson 	1	Y	
978-1-961475-02-1	Words of a Troubled Soul	Hardback	AC (USA)	9781961475021		2023-01-15	 20.99 	 6.81 	 8.40 	 8.31 	 8.40 	 David Williams 	1	Y	
978-1-961475-03-8	Establishing Glory	Paperback	AC (USA)	9781961475038			 -   	 -   	 -   	 1.50 	 0.40 	 Jackie Smith, Jr. 	1	N	I
978-1-961475-04-5	Establishing Glory	Hardback	AC (USA)	9781961475045			 -   	 -   	 -   	 1.50 	 0.40 	 Jackie Smith, Jr. 	1	N	I
978-1-961475-05-2	Establishing Glory	Digital online	AC (USA)	9781961475052			 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	N	
978-1-961475-06-9	Seasons of Life	Paperback	AC (USA)	9781961475069		2023-12-15	 9.99 	 3.01 	 4.00 	 4.51 	 4.00 	 Kurt Broadnax 	1	Y	
978-1-961475-07-6	Seasons of Life	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475076		2023-12-15	 4.99 	 2.88 	 2.00 		 3.28 	 Kurt Broadnax 	1	Y	
978-1-961475-08-3	God's Business Plan	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475083		2023-06-01	 -   	 -   	 -   		 0.40 	 Terry Stephens 	1	Y	
978-1-961475-09-0	Lady Daphanny's Altar	Paperback	AC (USA)	9781961475090		2024-03-08	 14.99 	 2.94 	 6.00 	 4.44 	 6.00 	 Daphanny Baker 	1	Y	
978-1-961475-10-6	Lady Daphanny's Altar	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475106		2024-03-08	 4.99 	 -   	 2.00 		 2.00 	 Daphanny Baker 	1	Y	
978-1-961475-11-3	The Flame	Paperback	AC (USA)	9781961475113			 -   	 -   	 -   	 1.50 	 0.40 	 Dennis Brown 	1	Y	I
978-1-961475-12-0	The Great Hair Restart	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475120		2024-05-01	 -   	 -   	 -   		 0.40 	 Karen Hill 	1	Y	
978-1-961475-13-7	The Great Hair Restart	Paperback	AC (USA)	9781961475137		2024-05-01	 -   	 3.22 	 -   	 4.72 	 3.62 	 Karen Hill 	1	Y	Y
978-1-961475-14-4	The Great Hair Restart	Hardback	AC (USA)	9781961475144		2024-05-01	 -   	 -   	 -   	 1.50 	 0.40 	 Karen Hill 	1	Y	
978-1-961475-15-1	The Messenger	Paperback	AC (USA)	9781961475151		2024-03-08	 14.99 	 3.30 	 6.00 	 4.80 	 6.00 	 Daphanny Baker 	1	Y	Y
978-1-961475-16-8	The Messenger	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475168		2024-03-08	 4.99 	 -   	 2.00 		 2.00 	 Daphanny Baker 	1	Y	
978-1-961475-17-5	Divinely Inspired	Paperback	AC (USA)	9781961475175		2024-09-01	 -   	 2.28 	 -   	 3.78 	 2.68 	 Regina Scales 	1	Y	Y
978-1-961475-18-2	Divinely Inspired	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475182		2024-09-01	 -   	 -   	 -   		 0.40 	 Regina Scales 	1	Y	
978-1-961475-19-9	Establishing Glory	Downloadable audio file	AC (USA)	9781961475199			 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
978-1-961475-20-5	Divinely Inspired	Hardback	AC (USA)	9781961475205		2024-09-01	 -   	 6.66 	 -   	 8.16 	 7.06 	 Regina Scales 	1	Y	Y
978-1-961475-21-2	Taylor Made	Paperback	AC (USA)	9781961475212		2024-07-20	 19.99 	 4.05 	 8.00 	 5.55 	 8.00 	 Will Harris 	1	Y	Y
978-1-961475-22-9	Taylor Made	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475229		2024-07-20	 -   	 -   	 -   		 0.40 	 Will Harris 	1	Y	
978-1-961475-23-6	From Stylist to CEO	Paperback	AC (USA)	9781961475236			 -   	 -   	 -   	 1.50 	 0.40 	 Karen Hill 	1	Y	I
978-1-961475-24-3	From Stylist to CEO	Hardback	AC (USA)	9781961475243			 -   	 -   	 -   	 1.50 	 0.40 	 Karen Hill 	1	Y	I
978-1-961475-25-0	From Stylist to CEO	Digital online	AC (USA)	9781961475250			 -   	 -   	 -   		 0.40 	 Karen Hill 	1	Y	
978-1-961475-26-7	The Great Hair Restart	Paperback	AC (USA)	9781961475267		2025-04-01	 -   	 9.74 	 -   	 11.24 	 10.14 	 Karen Hill 	1	Y	Y
978-1-961475-27-4	The Great Hair Restart	Hardback	AC (USA)	9781961475274		2025-04-01	 -   	 15.04 	 -   	 16.54 	 15.44 	 Karen Hill 	1	Y	Y
978-1-961475-28-1	The Great Hair Restart	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475281		2025-04-01	 -   	 -   	 -   		 0.40 	 Karen Hill 	1	Y	
978-1-961475-29-8	Taylor Made	Hardback	AC (USA)	9781961475298		2024-07-20	 24.99 	 11.12 	 10.00 	 12.62 	 11.52 	 Will Harris 	1	Y	Y
978-1-961475-30-4	Taylor Made	Downloadable audio file	AC (USA)	9781961475304		2024-07-20	 -   	 -   	 -   		 0.40 	 Will Harris 	1	Y	
978-1-961475-31-1	Have You Considered My Servant?	Paperback	AC (USA)	9781961475311		2024-08-15	 -   	 3.28 	 -   	 4.78 	 3.68 	 Jaylonna Stevette 	1	Y	Y
978-1-961475-32-8	Have You Considered My Servant?	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475328		2024-08-15	 -   	 -   	 -   		 0.40 	 Jaylonna Stevette 	1	Y	
978-1-961475-33-5	Delicious Ideas!	Paperback	AC (USA)	9781961475335		2025-02-01	 -   	 5.14 	 -   	 6.64 	 5.54 	 Agape International Cathedral 	1	Y	Y
978-1-961475-34-2	Delicious Ideas!	Hardback	AC (USA)	9781961475342		2025-02-01	 -   	 -   	 -   	 1.50 	 0.40 	 Agape International Cathedral 	1	Y	
978-1-961475-35-9	Delicious Ideas!	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475359		2025-02-01	 -   	 -   	 -   		 0.40 	 Agape International Cathedral 	1	Y	
978-1-961475-36-6	27 Days to Overcoming Depression	Paperback	AC (USA)	9781961475366		2025-02-01	 14.99 	 4.09 	 6.00 	 5.59 	 6.00 	 Donjia Walls 	1	Y	Y
978-1-961475-37-3	Memoir of a Black Christian Nationalist	Downloadable audio file	AC (USA)	9781961475373		2021-11-20	 -   	 -   	 -   		 0.40 	 Shelley McIntosh 	1	Y	
978-1-961475-38-0	War Mother	Paperback	AC (USA)	9781961475380		2025-06-01	 14.99 	 3.49 	 6.00 	 4.99 	 6.00 	 Winter Dockery 	1	Y	Y
978-1-961475-39-7	War Mother	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475397		2025-06-01	 -   	 -   	 -   		 0.40 	 Winter Dockery 	1	Y	
978-1-961475-40-3	Jalen Becomes a Big Brother	Paperback	AC (USA)	9781961475403		2025-07-15	 12.99 	 3.93 	 5.20 	 5.43 	 5.20 	 Deborah Eiland 	1	Y	Y
978-1-961475-41-0	Jalen Becomes a Big Brother	Hardback	AC (USA)	9781961475410		2025-07-15	 21.99 	 9.21 	 8.80 	 10.71 	 9.61 	 Deborah Eiland 	1	Y	Y
978-1-961475-42-7	Jalen Becomes a Big Brother	Ebook - EPUB	AC (USA)/AC (EBC)	9781961475427		2025-07-15	 -   	 -   	 -   		 0.40 	 Deborah Eiland 	1	Y	
978-1-961475-43-4	Rhyming It up with Church Stuff	Paperback	AC (USA)	9781961475434		2025-07-01	 9.99 	 1.94 	 4.00 	 3.44 	 4.00 	 Juanita Travis 	1	Y	Y
978-1-961475-44-1	Rhyming It up with Church Stuff	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475441		2025-07-01	 -   	 -   	 -   		 0.40 	 Juanita Travis 	1	Y	
978-1-961475-45-8	Your Peace Is a Priority	Paperback	AC (USA)	9781961475458		2025-08-19	 -   	 2.77 	 -   	 4.27 	 3.17 	 Kiena Hughley 	1	Y	Y
978-1-961475-46-5	Your Peace Is a Priority	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475465		2025-08-19	 -   	 -   	 -   		 0.40 	 Kiena Hughley 	1	Y	
978-1-961475-47-2	Peaches Can Do It!	Paperback	AC (USA)	9781961475472		2025-08-19	 14.99 	 5.96 	 6.00 	 7.46 	 6.36 	 Daphanny Baker 	1	Y	
978-1-961475-48-9	Peaches Can Do It!	Digital online	AC (USA)	9781961475489		2025-08-19	 -   	 -   	 -   		 0.40 	 Daphanny Baker 	1	Y	
978-1-961475-49-6	Inner Peace Through Life's Storms	Paperback	AC (USA)	9781961475496			 -   	 -   	 -   	 1.50 	 0.40 	 KD Heard 	1	Y	
978-1-961475-50-2	Inner Peace Through Life's Storms	Digital online	AC (USA)	9781961475502			 -   	 -   	 -   		 0.40 	 KD Heard 	1	Y	
978-1-961475-51-9	Warriors and Angels	Paperback	AC (USA)	9781961475519		14-Nov-25	 -   	 3.84 	 -   	 5.34 	 4.24 	 Shelley McIntosh 	1	Y	
978-1-961475-52-6	Warriors and Angels	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475526		14-Nov-25	 -   	 -   	 -   		 0.40 	 Shelley McIntosh 	1	Y	
978-1-961475-53-3	The Paper Champ	Paperback	AC (USA)	9781961475533		14-Nov-25	 -   	 -   	 -   		 0.40 	Felix Catheline	1	Y	
978-1-961475-54-0	The Paper Champ	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475540		14-Nov-25	 -   	 -   	 -   		 0.40 	Felix Catheline	1	Y	
978-1-961475-55-7	The Sun, the Shadow, and the Silence	Paperback	AC (USA)	9781961475557		3-Dec-25	 -   	 -   	 -   		 0.40 	 Devin Gilchrest 	1	Y	
978-1-961475-56-4	The Sun, the Shadow, and the Silence	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475564		3-Dec-25	 -   	 -   	 -   		 0.40 	 Devin Gilchrest 	1	Y	
978-1-961475-57-1	100 Wisdom Lessons for Life and Living	Paperback	AC (USA)	9781961475571		14-Apr-26	 -   	 -   	 -   		 0.40 	 J Derrick Johnson 	1	Y	
978-1-961475-58-8	100 Wisdom Lessons for Life and Living	Hardback	AC (USA)	9781961475588		14-Apr-26	 -   	 -   	 -   		 0.40 	 J Derrick Johnson 	1	Y	
978-1-961475-59-5	100 Wisdom Lessons for Life and Living	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475595		14-Apr-26	 -   	 -   	 -   		 0.40 	 J Derrick Johnson 	1	Y	
978-1-961475-60-1	100 Wisdom Lessons for Life and Living	Downloadable audio file	AC (USA)	9781961475601		14-Apr-26	 -   	 -   	 -   		 0.40 	 J Derrick Johnson 	1	Y	
978-1-961475-61-8	The Messenger 2	Paperback	AC (USA)	9781961475618		31-Mar-26	 -   	 -   	 -   		 0.40 	 Daphanny Baker 	1	Y	
978-1-961475-62-5	The Messenger 2	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475625		31-Mar-26	 -   	 -   	 -   		 0.40 	 Daphanny Baker 	1	Y	
978-1-961475-63-2	The Fight for the Promiseland	Paperback	AC (USA)	9781961475632		12-May-26	 -   	 -   	 -   		 0.40 	 Cheryl Cook 	1	Y	
978-1-961475-64-9	The Fight for the Promiseland	Digital (delivered electronically)	AC (EBC)/AC (USA)	9781961475649		12-May-26	 -   	 -   	 -   		 0.40 	 Cheryl Cook 	1	Y	
978-1-961475-65-6	A Portrait of Paradise	Paperback	AC (USA)	9781961475656		21-Apr-26	 -   	 -   	 -   		 0.40 	 Iyorwuese Hagher 	1	Y	
978-1-961475-66-3	A Portrait of Paradise	Hardback	AC (USA)	9781961475663		21-Apr-26	 -   	 -   	 -   		 0.40 	 Iyorwuese Hagher 	1	Y	
978-1-961475-67-0	A Portrait of Paradise	Digital (delivered electronically)	AC (EBC)/AC (USA)	9781961475670		21-Apr-26	 -   	 -   	 -   		 0.40 	 Iyorwuese Hagher 	1	Y	
978-1-961475-68-7	Department of the Air Force: Mission Driven Leadership	Paperback	AC (USA)	9781961475687		15-Apr-26	 -   	 -   	 -   		 0.40 	 USAF 	1	Y	
978-1-961475-69-4	Department of the Air Force Mission Driven Leadership	Digital (delivered electronically)	AC (USA)/IN (EBC)	9781961475694		15-Apr-26	 -   	 -   	 -   		 0.40 	 USAF 	1	Y	
978-1-961475-70-0	Damaged	Paperback	AC (USA)	9781961475700		27-May-26	 -   	 -   	 -   		 0.40 	 Lisa Taylor 	1	Y	
978-1-961475-71-7	Damaged	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475717		27-May-26	 -   	 -   	 -   		 0.40 	 Lisa Taylor 	1	Y	
978-1-961475-72-4	Music Ministry Unplugged	Paperback	AC (USA)	9781961475724		19-May-26	 -   	 -   	 -   		 0.40 	 Will Harris 	1	Y	
978-1-961475-73-1	Music Ministry Unplugged	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475731		19-May-26	 -   	 -   	 -   		 0.40 	 Will Harris 	1	Y	
978-1-961475-74-8	Girl, Did You Know...?	Paperback	AC (USA)	9781961475748		23-Jun-26	 -   	 -   	 -   		 0.40 	 Kimberly Reeder 	1	Y	
978-1-961475-75-5	Girl, Did You Know... ?	Digital (delivered electronically)	AC (USA)/AC (EBC)	9781961475755		23-Jun-26	 -   	 -   	 -   		 0.40 	 Kimberly Reeder 	1	Y	
978-1-961475-76-2	The Conquest of Azenga	Paperback	AC (USA)	9781961475762		23-Jun-26	 -   	 -   	 -   		 0.40 	 Iyorwuese Hagher 	1	Y	
