reservedIsbnInventoryId,classification,normalizedIsbn,sourceRowNumber,marketingEligible,distributionEligible,authorEligible
7d91244e-fbd0-5b14-a922-fed0d71780c8,RESERVED_UNASSIGNED_ISBN,9781969418402,349,false,false,false
b1101170-c551-507a-a40a-607a76eca954,RESERVED_UNASSIGNED_ISBN,9781969418419,350,false,false,false
41aa19e6-632c-5483-a53e-4f0c4894f0b6,RESERVED_UNASSIGNED_ISBN,9781969418426,351,false,false,false
11a4b4ca-d3f8-5091-abf3-aebe19496b21,RESERVED_UNASSIGNED_ISBN,9781969418433,352,false,false,false
e2eacccd-8a70-5559-ad0a-83f1719e6fb8,RESERVED_UNASSIGNED_ISBN,9781969418440,353,false,false,false
7e4f3106-aab4-5dd9-ad3f-7a0c0147b538,RESERVED_UNASSIGNED_ISBN,9781969418457,354,false,false,false
42395968-b1e2-506e-a986-68ed3be66c67,RESERVED_UNASSIGNED_ISBN,9781969418464,355,false,false,false
2ab32212-722e-592c-a084-f44169297889,RESERVED_UNASSIGNED_ISBN,9781969418471,356,false,false,false
8a2bbaed-1f02-5d36-aacc-57a88e927587,RESERVED_UNASSIGNED_ISBN,9781969418488,357,false,false,false
f3972d50-21cf-5aaf-a5e8-f639e7b24850,RESERVED_UNASSIGNED_ISBN,9781969418495,358,false,false,false
63bab02d-e7f7-5452-ae80-e258bbe20a9a,RESERVED_UNASSIGNED_ISBN,9781969418501,359,false,false,false
284c178e-758a-53fe-a91d-7470091f706f,RESERVED_UNASSIGNED_ISBN,9781969418518,360,false,false,false
4e3b4c2d-2ca3-5b49-abff-bc9bcf28cb32,RESERVED_UNASSIGNED_ISBN,9781969418525,361,false,false,false
2ec0ca3e-c34e-5742-a446-92c338595d11,RESERVED_UNASSIGNED_ISBN,9781969418532,362,false,false,false
868fa91d-3307-5be1-a72c-25835ab4926a,RESERVED_UNASSIGNED_ISBN,9781969418549,363,false,false,false
8efc4dce-d7ce-580c-a6b3-f07751e0fe4c,RESERVED_UNASSIGNED_ISBN,9781969418556,364,false,false,false
459db149-8298-5508-acec-4953fc74c970,RESERVED_UNASSIGNED_ISBN,9781969418563,365,false,false,false
07250794-126c-534a-ac5c-a92bb350517b,RESERVED_UNASSIGNED_ISBN,9781969418570,366,false,false,false
51050dca-93fe-5487-ab11-29bce39297bd,RESERVED_UNASSIGNED_ISBN,9781969418587,367,false,false,false
15652861-29b3-5abc-a9b4-3545fe2130aa,RESERVED_UNASSIGNED_ISBN,9781969418594,368,false,false,false
9cd07603-6a80-57b9-a4c3-04527557d3b5,RESERVED_UNASSIGNED_ISBN,9781969418600,369,false,false,false
96e6e305-4d3c-5dc7-a412-4cee66bfd9be,RESERVED_UNASSIGNED_ISBN,9781969418617,370,false,false,false
f71bd871-231b-5880-ac4a-76d059fda71e,RESERVED_UNASSIGNED_ISBN,9781969418624,371,false,false,false
916d49e7-7ce6-5e13-ae11-7535670bf151,RESERVED_UNASSIGNED_ISBN,9781969418631,372,false,false,false
81f15cb8-4c47-5a52-adb9-555d044a0158,RESERVED_UNASSIGNED_ISBN,9781969418648,373,false,false,false
96170438-aac2-5608-a056-0af63329df04,RESERVED_UNASSIGNED_ISBN,9781969418655,374,false,false,false
44fbfd18-2eb7-5de5-a041-c0b8178aa4f9,RESERVED_UNASSIGNED_ISBN,9781969418662,375,false,false,false
ff8dd06e-de22-59af-a52a-8519abdaec0f,RESERVED_UNASSIGNED_ISBN,9781969418679,376,false,false,false
76dddc4f-6e6f-5056-a458-c62ef6979f5a,RESERVED_UNASSIGNED_ISBN,9781969418686,377,false,false,false
4853467a-cb30-5af4-aa76-91d34e87df7f,RESERVED_UNASSIGNED_ISBN,9781969418693,378,false,false,false
fb9ef5e2-32c5-5d35-a227-070e7e678247,RESERVED_UNASSIGNED_ISBN,9781969418709,379,false,false,false
7051e258-a5a2-5ada-aeb0-6eb47cbe4e06,RESERVED_UNASSIGNED_ISBN,9781969418716,380,false,false,false
03f46919-0f3a-59c8-a03f-a50692ccea91,RESERVED_UNASSIGNED_ISBN,9781969418723,381,false,false,false
7c6b509c-74cf-555a-a01f-73201756b68a,RESERVED_UNASSIGNED_ISBN,9781969418730,382,false,false,false
2c5d9bb5-08ab-5dc4-a93d-15f49feda936,RESERVED_UNASSIGNED_ISBN,9781969418747,383,false,false,false
8bb8141a-b254-54fe-a791-7734bb03fb85,RESERVED_UNASSIGNED_ISBN,9781969418754,384,false,false,false
2af17746-82df-576d-a0f1-e10f2f399555,RESERVED_UNASSIGNED_ISBN,9781969418761,385,false,false,false
ab6d5718-9b2d-5154-a9e9-4f31aa9f307b,RESERVED_UNASSIGNED_ISBN,9781969418778,386,false,false,false
57e3ef56-646e-5dff-aabe-3551de86cfd5,RESERVED_UNASSIGNED_ISBN,9781969418785,387,false,false,false
c0a23096-30ee-5303-a97f-ce73465055a7,RESERVED_UNASSIGNED_ISBN,9781969418792,388,false,false,false
b64e642a-0476-5025-a1f9-74c77a951b1d,RESERVED_UNASSIGNED_ISBN,9781969418808,389,false,false,false
f9c6bf42-6910-5678-a0cb-1ee91b5f02d9,RESERVED_UNASSIGNED_ISBN,9781969418815,390,false,false,false
bfce54b1-d8da-53b7-aa0d-038170c4cb73,RESERVED_UNASSIGNED_ISBN,9781969418822,391,false,false,false
2ca21ab4-6a1b-54a4-a028-6ee752923c1d,RESERVED_UNASSIGNED_ISBN,9781969418839,392,false,false,false
bdb00897-8227-571e-a62c-5a8ad5af7a33,RESERVED_UNASSIGNED_ISBN,9781969418846,393,false,false,false
1f8b3423-04db-5b83-aa46-f36a2023fd5b,RESERVED_UNASSIGNED_ISBN,9781969418853,394,false,false,false
69619620-07f4-52ab-ad4c-08b81765942c,RESERVED_UNASSIGNED_ISBN,9781969418860,395,false,false,false
7e24a42d-d02c-56bd-ae1d-19078e9c3d68,RESERVED_UNASSIGNED_ISBN,9781969418877,396,false,false,false
57583d7e-556f-55a0-ac6c-aa59a6c1f1e5,RESERVED_UNASSIGNED_ISBN,9781969418884,397,false,false,false
cffa24d7-329d-5b32-a1a7-0967b0213625,RESERVED_UNASSIGNED_ISBN,9781969418891,398,false,false,false
05e3931c-57ac-5b8e-ab1a-0f3bd78625fc,RESERVED_UNASSIGNED_ISBN,9781969418907,399,false,false,false
de6eb3b7-9520-5922-a86e-0a82f6af497d,RESERVED_UNASSIGNED_ISBN,9781969418914,400,false,false,false
4fddd0ce-1121-5bfc-ac97-5140a249fe78,RESERVED_UNASSIGNED_ISBN,9781969418921,401,false,false,false
916d035d-7aef-5c7e-ad48-d8c9669c7bda,RESERVED_UNASSIGNED_ISBN,9781969418938,402,false,false,false
57def83b-a8a9-5acd-aab6-ede9fa33785e,RESERVED_UNASSIGNED_ISBN,9781969418945,403,false,false,false
01064c96-d2bb-5b53-afb3-9a936d685a81,RESERVED_UNASSIGNED_ISBN,9781969418952,404,false,false,false
cc54fa39-e15e-5825-aded-60cfbabff008,RESERVED_UNASSIGNED_ISBN,9781969418969,405,false,false,false
8d02d118-4b71-5a77-a4f1-ab8fe4c4bedd,RESERVED_UNASSIGNED_ISBN,9781969418976,406,false,false,false
0fd6e246-37b6-5950-a453-24cc1ca40039,RESERVED_UNASSIGNED_ISBN,9781969418983,407,false,false,false
dd9a88a9-1fe5-5d8a-a448-b36e0db87b80,RESERVED_UNASSIGNED_ISBN,9781969418990,408,false,false,false
