canonicalProductId,generatedStableProductId,canonicalProductKey,canonicalWorkId,canonicalEditionId,title,authorDisplayName,format,rawFormat,isbn13,legacyOrAudioIdentifier,asin,publicationDate,distributionState,knownChannels,productRelationship,rawLegacyStatus,legacyStatusInterpretation,rawHouse,legacyHouseInterpretation,rawContract,legacyContractInterpretation,sourceRowNumber,existingAssetMatched
1bc94cd6-c47a-f111-ab0f-6045bdd69678,fb7e3a8d-42f2-5a12-a6be-2d6d0f412ce7,identifier:9781950719617,37ce3ac0-c37a-f111-ab0f-7c1e525b15c2,1805ecb8-40ee-5a90-a495-de343a36f338,"A Truebies Guide, Part 1",Alesia Corpening,EBOOK,Ebook,9781950719617,,,,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,70,true
4ffad4d5-c47a-f111-ab0f-000d3a1a9efa,6a3f29f9-dfb7-500d-ad6b-4b6b64d660e8,identifier:9781950719624,37ce3ac0-c37a-f111-ab0f-7c1e525b15c2,1805ecb8-40ee-5a90-a495-de343a36f338,"A Truebies Guide, Part 1",Alesia Corpening,PAPERBACK,Paperback,9781950719624,,,,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,I,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,71,true
6859e3d6-c47a-f111-ab0f-6045bdd69435,770c74b7-55e5-576e-ad08-ab63dbc9c389,identifier:9781950719631,d7f603d3-c27a-f111-ab0f-000d3a14673b,5ce8d466-c3e9-5c87-adf2-084db234e62c,The Release of the Spirit,Lyle Goddard,EBOOK,Ebook,9781950719631,,B08P93FZX5,2021-01-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,72,true
5afad4d5-c47a-f111-ab0f-000d3a1a9efa,4c3bc9ce-2979-549e-ac00-2d587f1d1621,identifier:9781950719648,d7f603d3-c27a-f111-ab0f-000d3a14673b,5ce8d466-c3e9-5c87-adf2-084db234e62c,The Release of the Spirit,Lyle Goddard,PAPERBACK,Paperback,9781950719648,,,2021-01-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,73,true
5cfad4d5-c47a-f111-ab0f-000d3a1a9efa,47d91008-54f2-5ac6-ad4a-8f32676ff915,identifier:9781950719655,841a04cd-c27a-f111-ab0f-000d3a14673b,8e193d25-c855-5947-a9e1-e5e3a862ae53,A Principal's Tale,Shelley McIntosh,EBOOK,Ebook,9781950719655,,B08SCCP8GS,2021-02-14,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,74,true
00440eda-c47a-f111-ab0f-000d3a9eacee,a545e80f-356e-5582-aa79-39a740924f4e,identifier:9781950719662,841a04cd-c27a-f111-ab0f-000d3a14673b,8e193d25-c855-5947-a9e1-e5e3a862ae53,A Principal's Tale,Shelley McIntosh,PAPERBACK,Paperback,9781950719662,,,2021-02-14,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,75,true
01440eda-c47a-f111-ab0f-000d3a9eacee,7e6c0782-0ab2-5203-a78c-d7b692e5fcc5,identifier:9781950719679,f0084bcd-c27a-f111-ab0f-00224820105b,935b1d6d-b7b5-5882-a0fa-840b06515e8a,Pieces of Me All over the Place,Ashanti Flemister,EBOOK,Ebook,9781950719679,,B08TV69M9Y,2021-03-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,76,true
92b515d6-c47a-f111-ab0f-7c1e525b15c2,875f94be-7a23-59f8-aad5-aa800360aa66,identifier:9781950719686,f0084bcd-c27a-f111-ab0f-00224820105b,935b1d6d-b7b5-5882-a0fa-840b06515e8a,Pieces of Me All over the Place,Ashanti Flemister,PAPERBACK,Paperback,9781950719686,,,2021-03-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,77,true
9bb515d6-c47a-f111-ab0f-7c1e525b15c2,34b0bf61-8eff-5b8a-ad7b-ab19a6122aea,identifier:9781950719693,9e8797ca-c27a-f111-ab0f-7c1e525b15c2,ff97711c-11f9-52e0-a491-d681be076853,"Help God, I Am Lost",Cheryl Travis,EBOOK,Ebook,9781950719693,,B08PS6C4VY,2021-01-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,78,true
5dfad4d5-c47a-f111-ab0f-000d3a1a9efa,0873ef53-d630-53eb-aea4-66a394d6b4d7,identifier:9781950719709,9e8797ca-c27a-f111-ab0f-7c1e525b15c2,ff97711c-11f9-52e0-a491-d681be076853,"Help God, I Am Lost",Cheryl Travis,HARDCOVER,Hardback,9781950719709,,,2021-01-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,79,true
