canonicalAuthorId,canonicalAuthorKey,authorDisplayName,aliases,sourceProductRows,existingContactMatched,matchBasis,matchCandidateCount
e8e1a253-fa9d-f111-b8db-7c1e5248501c,lyle goddard,Lyle Goddard,,2,true,CONTACT_FULLNAME,2
e40fe371-fa9d-f111-b8db-7c1e5248501c,mack hughley,Mack Hughley,,2,true,CONTACT_FULLNAME,2
20adc867-fa9d-f111-b8dc-7c1e525b15c2,marvin grayson,Marvin Grayson,,3,true,CONTACT_FULLNAME,2
d2ed8a5b-fa9d-f111-b8dc-7c1e525b15c2,maurche reed,Maurche Reed,,5,true,CONTACT_FULLNAME,2
c1269d54-fa9d-f111-b8dc-000d3a14673b,mildred beard,Mildred Beard,,2,true,CONTACT_FULLNAME,2
2fffe45a-fa9d-f111-b8dc-000d3a14673b,natasha gilchrist,Natasha Gilchrist,Natasha Gilchrest,2,true,CONTACT_FULLNAME,1
e121af65-fa9d-f111-b8db-7c1e5248501c,nathaniel short,Nathaniel Short,,2,true,CONTACT_FULLNAME,2
c2e8dab4-1da3-53ea-a1e4-91a6d655ee2b,obadiah harris,Obadiah Harris,,5,false,DETERMINISTIC_NEW_ID,0
3affe45a-fa9d-f111-b8dc-000d3a14673b,pamela smith,Pamela Smith,,2,true,CONTACT_FULLNAME,2
050189e8-f6ea-5481-abf0-6f961615be97,permelia smith,Permelia Smith,,2,false,DETERMINISTIC_NEW_ID,0
b7269d54-fa9d-f111-b8dc-000d3a14673b,r dorian night,R. Dorian Night,Devin Gilchrest,2,true,CONTACT_FULLNAME,2
abb2965f-fa9d-f111-b8db-7c1e5248501c,randall beverly,Randall Beverly,,2,true,CONTACT_FULLNAME,2
49b7ff73-fa9d-f111-b8dc-000d3a14673b,regina scales,Regina Scales,,3,true,CONTACT_FULLNAME,2
e12ada67-fa9d-f111-b8dc-000d3a14673b,rodney waller,Rodney Waller,,2,true,CONTACT_FULLNAME,2
40c8a8e5-872a-f111-88b4-7c1e525b15c2,rosetta perry,Rosetta Perry,,2,true,CONTACT_FULLNAME,2
dfb397e7-3b7c-f111-ab0f-6045bdd69435,sean a crowley i,Sean A Crowley I,Sean Crowley,5,true,CONTACT_FULLNAME,1
10adc867-fa9d-f111-b8dc-7c1e525b15c2,sean smith sr,"Sean Smith, Sr.",,4,true,CONTACT_FULLNAME,2
49ffe45a-fa9d-f111-b8dc-000d3a14673b,shana byrd,Shana Byrd,,2,true,CONTACT_FULLNAME,2
6177ba6b-fa9d-f111-b8db-7c1e5248501c,shaniqua williams,Shaniqua Williams,,2,true,CONTACT_FULLNAME,2
abed8a5b-fa9d-f111-b8dc-7c1e525b15c2,shecara norris,Shecara Norris,,3,true,CONTACT_FULLNAME,2
632d8d61-fa9d-f111-b8dc-7c1e525b15c2,shelley mcintosh,Shelley McIntosh,,8,true,CONTACT_FULLNAME,2
84ae096e-fa9d-f111-b8dc-000d3a14673b,sylvia benson,Sylvia Benson,,3,true,CONTACT_FULLNAME,2
f584c05f-ced2-5b60-a70b-382f6cfaeb90,tawonna mars,Tawonna Mars,Tawana Mars,2,false,DETERMINISTIC_NEW_ID,0
92817142-abc3-5959-a7fb-cb46f7047a45,tekisha wimbush,Tekisha Wimbush,,6,false,DETERMINISTIC_NEW_ID,0
95ae096e-fa9d-f111-b8dc-000d3a14673b,terry stephens,Terry Stephens,,9,true,CONTACT_FULLNAME,2
deed8a5b-fa9d-f111-b8dc-7c1e525b15c2,thaddues smith,Thaddues Smith,,3,true,CONTACT_FULLNAME,2
e68aa56a-882a-f111-88b4-6045bdd69678,thomas johnson,Thomas Johnson,,2,true,CONTACT_FULLNAME,2
36d9bd54-fa9d-f111-b8dc-7c1e525b15c2,tia benincase,Tia Benincase,,2,true,CONTACT_FULLNAME,2
a80a1c61-fa9d-f111-b8dc-000d3a14673b,toni kleckley,Toni Kleckley,,2,true,CONTACT_FULLNAME,2
9c0a1c61-fa9d-f111-b8dc-000d3a14673b,tracy norris,Tracy Norris,,2,true,CONTACT_FULLNAME,2
2e8af707-519f-530a-a68a-5424065281c1,usaf,USAF,,2,false,DETERMINISTIC_NEW_ID,0
c3ed8a5b-fa9d-f111-b8dc-7c1e525b15c2,veronica brown,Veronica Brown,,2,true,CONTACT_FULLNAME,2
fa21af65-fa9d-f111-b8db-7c1e5248501c,wayne pounds,Wayne Pounds,,2,true,CONTACT_FULLNAME,2
56b7ff73-fa9d-f111-b8dc-000d3a14673b,will harris,Will Harris,,6,true,CONTACT_FULLNAME,2
26621431-fa9d-f111-b8dc-7c1e525b15c2,winter dockery,Winter Dockery,,2,true,CONTACT_FULLNAME,3
